,country,year,status,lifeexpectancy,adultmortality,infantdeaths,alcohol,percentageexpenditure,hepatitisb,measles,bmi,under-fivedeaths,polio,totalexpenditure,diphtheria,hiv/aids,gdp,population,thinness1-19years,thinness5-9years,incomecompositionofresources,schooling,fdi,birth_per_woman,water,math4,gini,out_of_pocket_share,aid_perperson,poverty,electricity,cellphone
851,eritrea,2014,Developing,64.4,261.0,5,0.01,0.0,94.0,127,18.0,8,94.0,3.34,94.0,0.4,,,8.5,8.3,0.41600000000000004,5.0,,4.29,51.1,,,,,,,417400.0
852,eritrea,2013,Developing,64.0,266.0,6,0.01,0.0,94.0,45,17.5,8,94.0,3.1,94.0,0.5,,,8.6,8.4,0.414,5.0,,4.36,50.7,,,,,,,354844.0
853,eritrea,2012,Developing,63.6,274.0,6,0.01,0.0,94.0,194,17.0,8,94.0,2.98,94.0,0.6,,,8.7,8.6,0.41,5.0,,4.44,50.3,,,,,,,305283.0
854,eritrea,2011,Developing,62.9,286.0,6,0.62,20.97991915,96.0,48,16.5,8,96.0,3.6,96.0,0.7,582.775532,447469.0,8.8,8.7,0.405,5.0,1.49554796228862,4.53,50.2,,,,41.5093857887091,,,241939.0
855,eritrea,2010,Developing,62.1,298.0,6,0.61,17.35739784,9.0,51,16.0,9,9.0,3.24,9.0,0.9,482.14994,43984.0,8.9,8.8,0.40399999999999997,5.1,4.29845543627307,4.61,50.0,,,51.8,51.1948668112086,,,185275.0
856,eritrea,2009,Developing,61.4,311.0,6,0.63,1.575160196,92.0,82,15.5,9,92.0,3.3,92.0,1.0,43.754449900000004,431334.0,9.0,8.9,0.402,5.2,4.9011804838024995,4.68,49.8,,,52.3,45.712709017278605,,,141130.0
857,eritrea,2008,Developing,67.0,322.0,6,0.49,11.76572311,94.0,0,15.1,9,94.0,3.69,94.0,1.1,326.825642,4232636.0,9.1,9.1,0.406,5.2,2.8257003679496604,4.75,49.6,,,49.5,47.4797555321311,,20.3,108631.0
858,eritrea,2007,Developing,62.0,329.0,6,1.23,11.42385961,91.0,55,14.7,9,91.0,3.29,91.0,1.3,317.3294336,4153332.0,9.2,9.2,0.405,5.3,0.5467863083769521,4.82,49.2,,,54.7,52.90441989660629,,20.4,84348.0
859,eritrea,2006,Developing,59.7,336.0,7,0.97,10.60269773,94.0,128,14.3,9,94.0,3.3,94.0,1.4,297.82858799999997,466648.0,9.3,9.3,0.405,5.3,1.2694925441451699,4.88,48.9,,,54.4,43.242336450457,,19.6,61996.0
860,eritrea,2005,Developing,59.4,34.0,7,1.07,5.0646889680000005,96.0,19,13.9,9,96.0,2.97,96.0,1.6,276.75896,39697.0,9.4,9.5,0.0,5.4,0.13032775638612198,4.94,48.5,,,54.0,123.729105716103,,21.0,40438.0
861,eritrea,2004,Developing,59.1,342.0,7,0.64,10.26097341,84.0,24,13.6,10,98.0,3.14,98.0,1.8,287.42222430000004,3858623.0,9.6,9.6,0.0,5.0,2.1733535717625903,5.01,48.1,,,53.8,96.8893662569208,,20.2,20000.0
862,eritrea,2003,Developing,58.8,343.0,7,0.56,6.913998013,91.0,376,13.3,10,95.0,3.5,93.0,1.9,232.79454590000003,3738265.0,9.7,9.7,0.0,4.7,2.8727207746217798,5.07,47.8,,,52.8,121.86208447956899,,19.0,0.0
863,eritrea,2002,Developing,58.5,343.0,7,0.83,0.703132179,86.0,460,13.1,10,92.0,4.2,9.0,1.9,21.7687981,3614639.0,9.9,9.9,0.0,4.4,3.12155476323339,5.15,47.4,,,50.7,91.3602173624901,,17.7,0.0
864,eritrea,2001,Developing,58.1,345.0,7,0.61,5.593619538,,204,12.8,10,89.0,3.95,86.0,2.0,215.13921299999998,3497124.0,1.0,1.0,0.0,4.3,1.6124580670717998,5.23,47.1,,,47.3,119.88772252374399,,15.8,0.0
865,eritrea,2000,Developing,45.3,593.0,7,0.83,0.7359403609999999,,789,12.6,10,82.0,4.43,81.0,1.9,28.196948699999997,339281.0,1.2,1.1,0.0,3.9,3.9455348515413498,5.33,46.8,,,52.4,77.6560642887072,,14.0,0.0
866,estonia,2015,Developing,77.6,119.0,0,,0.0,91.0,4,59.9,0,93.0,,93.0,0.1,1774.9291,131547.0,1.9,1.9,0.863,16.5,-3.10412314619465,1.62,99.7,,32.7,,,,,1903545.0
867,estonia,2014,Developing,77.3,122.0,0,0.01,2700.07305,93.0,0,59.4,0,93.0,6.38,93.0,0.1,19941.455319999997,1314545.0,1.9,1.9,0.86,16.5,6.654529119257409,1.61,99.7,,34.6,,,,,1897551.0
868,estonia,2013,Developing,76.9,127.0,0,0.01,261.29148080000004,93.0,2,59.0,0,94.0,6.48,94.0,0.1,1929.7746,1317997.0,1.9,1.9,0.856,16.5,4.3446021688396605,1.61,99.7,,35.1,,,,,1927423.0
869,estonia,2012,Developing,76.3,135.0,0,0.01,2263.1037969999998,94.0,4,58.5,0,94.0,6.36,94.0,0.1,17421.8922,1322696.0,1.9,1.9,0.85,16.5,7.7064801188948096,1.62,99.6,,32.9,,,,,1999750.0
870,estonia,2011,Developing,76.1,138.0,0,0.01,2146.945741,94.0,7,58.0,0,93.0,5.83,93.0,0.1,17454.843419999997,1327439.0,1.9,2.0,0.838,16.4,4.78373919307872,1.63,99.6,,32.5,,,0.013000000000000001,,1806075.0
871,estonia,2010,Developing,75.6,137.0,0,14.97,1802.017593,94.0,0,57.6,0,94.0,6.25,94.0,0.1,14638.6482,1331475.0,1.9,2.0,0.833,16.2,13.1686597084672,1.64,99.5,,32.0,19.6,,0.0108,,1652809.0
872,estonia,2009,Developing,74.9,156.0,0,15.04,1717.0887109999999,95.0,0,57.1,0,95.0,6.93,95.0,0.1,14726.318280000001,1334515.0,2.0,2.0,0.836,16.1,9.45242355462067,1.65,99.5,,31.4,21.1,,0.00787,,1570538.0
873,estonia,2008,Developing,74.2,167.0,0,16.99,225.07236180000004,94.0,0,56.7,0,95.0,6.6,95.0,0.1,1894.5485,13379.0,2.0,2.1,0.835,16.1,7.68673717807771,1.64,99.4,,31.9,19.9,,0.00602,1410.0,1624465.0
874,estonia,2007,Developing,73.0,189.0,0,17.87,1904.1246899999999,95.0,1,56.3,0,95.0,5.16,95.0,0.1,16586.452,13468.0,2.0,2.1,0.8290000000000001,16.1,15.277140066503598,1.62,99.4,,31.2,22.2,,0.0063,1350.0,1681849.0
875,estonia,2006,Developing,73.0,188.0,0,16.58,244.3510801,95.0,27,55.9,0,95.0,5.1,95.0,0.1,12595.4165,134681.0,2.1,2.2,0.8220000000000001,16.1,13.0034054876571,1.58,99.4,,33.7,25.3,,0.00983,1260.0,1658700.0
876,estonia,2005,Developing,72.8,189.0,0,15.52,153.5045263,95.0,2,55.5,0,96.0,5.2,96.0,0.1,1338.31322,1354775.0,2.1,2.2,0.812,15.9,22.182051467728897,1.54,99.3,,33.4,20.5,,0.00975,1220.0,1445300.0
877,estonia,2004,Developing,72.3,195.0,0,15.07,101.12011609999999,9.0,0,55.2,0,95.0,5.13,94.0,0.1,885.4651150000001,136255.0,2.2,2.3,0.805,15.7,8.94653564799708,1.48,99.3,,33.6,18.8,,,1210.0,1255731.0
878,estonia,2003,Developing,71.9,199.0,0,11.64,132.7233922,,0,54.9,0,95.0,4.92,94.0,0.1,7174.2374150000005,13772.0,2.2,2.3,0.7979999999999999,15.6,10.5060110386308,1.43,99.2,,37.2,18.5,,0.00507,1180.0,1050241.0
879,estonia,2002,Developing,71.2,211.0,0,11.48,7.806042825,,0,54.6,0,94.0,4.84,94.0,0.1,538.3477809999999,137935.0,2.3,2.4,0.7909999999999999,15.4,4.5878090791248205,1.38,99.2,,,17.5,,0.007859999999999999,1160.0,881000.0
880,estonia,2001,Developing,78.0,225.0,0,0.01,88.62945822,,0,54.3,0,94.0,4.85,94.0,0.1,4498.95727,1388115.0,2.4,2.5,0.7809999999999999,15.0,9.47220190867979,1.34,99.2,,,16.7,,0.007909999999999999,1160.0,651200.0
881,estonia,2000,Developing,78.0,218.0,0,0.01,5.34809451,,9,54.0,0,93.0,5.28,93.0,0.1,47.32827,1396985.0,2.5,2.5,0.764,14.4,7.30960979237904,1.32,99.1,,,17.4,,0.00838,1060.0,557000.0
882,ethiopia,2015,Developing,64.8,225.0,136,,0.0,77.0,17745,17.6,194,75.0,,77.0,0.6,645.4637627000001,9987333.0,1.4,1.2,0.441,8.4,4.0664885606502095,4.32,39.0,,35.0,,32.1205452607567,,,42311629.0
883,ethiopia,2014,Developing,64.2,234.0,140,0.01,89.95805845,77.0,12739,17.2,202,75.0,4.88,77.0,0.6,571.1622758999999,97366774.0,1.5,1.3,0.435,8.4,3.33569111068815,4.44,37.9,,,,36.535881066727704,,,30490000.0
884,ethiopia,2013,Developing,63.7,237.0,145,1.86,8.313282039,72.0,5253,16.8,211,7.0,5.19,72.0,0.9,52.15358870000001,94887724.0,1.6,1.4,0.42700000000000005,8.4,2.8204123339994105,4.56,36.7,,,,40.7350009130029,,,25646865.0
885,ethiopia,2012,Developing,63.3,241.0,150,1.84,86.82551124,69.0,4347,16.4,221,7.0,5.77,69.0,1.2,468.567249,92444183.0,1.7,1.5,0.42200000000000004,8.4,0.643172898229037,4.68,35.6,,,,34.9767710956772,,,20523889.0
886,ethiopia,2011,Developing,62.6,249.0,156,1.32,67.77565369,65.0,3255,16.0,231,7.0,6.55,65.0,1.4,354.8463544,946756.0,1.9,1.6,0.41100000000000003,8.2,1.96735663905254,4.8,34.3,,,,38.7829234938046,32.9,,14126659.0
887,ethiopia,2010,Developing,61.8,261.0,162,1.34,67.73374413,62.0,4235,15.6,243,69.0,6.86,61.0,1.7,341.39992,877267.0,11.0,1.7,0.401,8.1,0.963030625359937,4.92,33.0,,33.2,37.2,39.4244789067848,,,6854000.0
888,ethiopia,2009,Developing,68.0,274.0,169,1.17,53.77354001,56.0,1176,15.3,256,65.0,4.41,58.0,2.0,379.75663849999995,85416253.0,11.1,1.8,0.39299999999999996,8.1,0.68272936693443,5.06,31.7,,,37.1,44.861955472648894,,,4051703.0
889,ethiopia,2008,Developing,59.8,289.0,177,1.13,38.55783268,52.0,3511,14.9,270,63.0,4.28,54.0,2.4,325.3825543,83184892.0,11.2,1.9,0.37799999999999995,7.6,0.400997134132692,5.2,30.4,,,38.5,39.9951830905009,,15.1,1954527.0
890,ethiopia,2007,Developing,58.5,39.0,186,1.06,30.46451811,47.0,1446,14.5,286,61.0,4.69,5.0,2.8,243.32682200000002,8149.0,11.3,11.0,0.36200000000000004,7.1,1.12647092519686,5.36,29.0,,,34.8,32.3095272964354,,14.6,1208498.0
891,ethiopia,2006,Developing,57.2,328.0,196,1.22,22.18952246,,1451,14.2,304,59.0,4.47,46.0,3.3,193.794956,7885689.0,11.4,11.1,0.34600000000000003,6.6,3.5682352741624097,5.52,27.6,,,36.1,25.921399291873698,,13.1,866700.0
892,ethiopia,2005,Developing,56.0,343.0,206,0.99,18.03753133,,357,13.8,323,56.0,4.2,44.0,3.7,161.6266248,7672783.0,11.5,11.2,0.325,5.8,2.13780093729558,5.69,26.2,,,31.5,25.268018452354397,29.7,10.5,410630.0
893,ethiopia,2004,Developing,55.0,354.0,217,0.86,1.5069624819999998,,73,13.5,342,54.0,4.23,4.0,4.1,135.7623858,7462445.0,11.5,11.3,0.31,5.4,5.38041579859625,5.87,24.8,,29.8,34.8,24.653990470816396,,9.97,155534.0
894,ethiopia,2003,Developing,54.0,363.0,228,0.79,10.97201912,,228,13.2,360,55.0,4.64,37.0,4.4,118.87344660000001,72545144.0,11.6,11.5,0.306,5.2,5.392122512523151,6.04,23.3,,,34.4,22.4628920029203,,9.25,51324.0
895,ethiopia,2002,Developing,53.2,369.0,237,0.8,10.82452594,,3332,12.9,377,55.0,4.73,35.0,4.6,111.36343559999999,7497192.0,11.7,11.6,0.298,4.9,3.2480726995032,6.22,21.8,,,37.4,18.8865197964284,,8.7,50369.0
896,ethiopia,2001,Developing,52.5,372.0,246,0.85,1.186227577,,2366,12.6,392,55.0,4.26,32.0,4.9,12.178927900000001,68492257.0,11.8,11.7,0.28300000000000003,4.3,4.24475958430851,6.38,20.3,,,34.5,16.1914512625193,,5.96,27500.0
897,ethiopia,2000,Developing,51.2,391.0,253,0.88,11.59481766,,1660,12.3,404,55.0,4.36,3.0,5.0,123.87625700000001,66537331.0,11.9,11.8,0.0,3.9,1.6335063693448502,6.53,18.7,,,36.8,10.3858365181869,36.0,8.04,17757.0
898,fiji,2015,Developing,69.9,188.0,0,,0.0,99.0,0,62.7,0,99.0,,99.0,0.1,4921.89629,892149.0,4.0,3.7,0.7340000000000001,15.3,4.3859296045858995,2.54,93.8,,,,117.979297623645,,,965950.0
899,fiji,2014,Developing,69.7,19.0,0,0.01,50.539484,99.0,0,61.9,0,99.0,4.49,99.0,0.1,546.3728,88586.0,4.0,3.7,0.727,15.2,7.779951265545419,2.57,93.9,,,,108.765273896876,,,876176.0
900,fiji,2013,Developing,69.6,192.0,0,0.01,460.6487805,99.0,0,61.1,0,99.0,4.26,99.0,0.1,4763.68956,879715.0,4.0,3.7,0.7190000000000001,15.0,5.81800530522945,2.59,93.9,,36.7,,105.38257643263799,,,930406.0
901,fiji,2012,Developing,69.4,195.0,0,0.01,431.4854874,99.0,0,6.2,0,99.0,4.16,99.0,0.1,4546.73854,873596.0,4.0,3.7,0.7140000000000001,14.9,6.98169170080145,2.62,94.0,,,,121.80531581478701,,,858809.0
902,fiji,2011,Developing,69.2,197.0,0,0.01,401.79310449999997,99.0,0,59.5,0,99.0,4.6,99.0,0.1,4353.121392,86786.0,4.0,3.7,0.7090000000000001,14.7,5.7532590894298306,2.64,94.0,,,,87.3126257481894,,,727000.0
903,fiji,2010,Developing,69.1,2.0,0,2.25,62.08343533,99.0,0,58.7,0,99.0,4.23,99.0,0.1,3651.966784,85995.0,4.0,3.7,0.706,14.6,5.67079237442896,2.67,94.1,,,19.7,88.20470883127659,,,697920.0
904,fiji,2009,Developing,68.9,23.0,0,2.31,60.65068446,99.0,1,58.0,0,99.0,4.26,99.0,0.1,3369.4824700000004,851967.0,4.0,3.7,0.7040000000000001,14.5,10.742390599256101,2.7,94.2,,,21.9,77.7965384139973,0.0501,,640000.0
905,fiji,2008,Developing,68.7,26.0,0,1.95,81.04656111,99.0,0,57.3,0,99.0,3.68,99.0,0.1,4177.657789,84334.0,4.0,3.7,0.7,14.3,19.2785877551773,2.74,94.2,,40.4,15.5,53.326332573959206,,,600000.0
906,fiji,2007,Developing,68.6,29.0,0,2.09,5.889526221000001,99.0,0,56.6,0,99.0,3.74,99.0,0.1,478.82327000000004,834812.0,4.1,3.8,0.698,14.2,13.6335810256654,2.77,94.3,,,15.5,60.8474163385298,,,530048.0
907,fiji,2006,Developing,68.5,211.0,0,2.06,52.12416339999999,99.0,136,55.9,0,98.0,3.84,98.0,0.1,3749.9398130000004,827411.0,4.1,3.8,0.695,14.0,18.8212688212159,2.82,94.4,,,13.6,67.4018858480927,,,284661.0
908,fiji,2005,Developing,68.3,214.0,0,2.02,64.39203443,99.0,0,55.1,0,97.0,3.61,96.0,0.1,3658.6383200000005,821817.0,4.1,3.8,0.6990000000000001,13.9,5.75216981524567,2.86,94.4,,,11.8,80.4280429879293,,,205000.0
909,fiji,2004,Developing,68.1,218.0,0,1.63,43.99452464,99.0,37,54.2,0,96.0,3.61,95.0,0.1,3332.918533,818354.0,4.2,3.9,0.691,13.4,9.18779139777421,2.91,94.5,,,12.2,80.1237360664379,,,142190.0
910,fiji,2003,Developing,68.0,22.0,0,1.76,253.8196705,99.0,305,53.2,0,95.0,3.35,94.0,0.1,2835.973972,816628.0,4.2,3.9,0.6890000000000001,13.3,1.7405705013563202,2.95,94.6,,,11.9,62.8005234806562,0.23800000000000002,,109882.0
911,fiji,2002,Developing,67.9,22.0,0,1.85,206.071686,99.0,304,52.2,0,94.0,3.48,93.0,0.1,2259.55796,815691.0,4.2,3.9,0.687,13.3,1.66455310859068,3.0,94.7,,38.1,11.1,41.9131613331076,,,89900.0
912,fiji,2001,Developing,67.8,221.0,0,1.93,20.711912899999998,98.0,17,51.2,0,92.0,3.28,91.0,0.1,238.891729,814218.0,4.3,4.0,0.6829999999999999,13.2,2.48791265548582,3.05,94.6,,,12.3,32.1651261543457,,,80933.0
913,fiji,2000,Developing,67.7,221.0,0,2.05,31.25834616,98.0,0,5.2,0,91.0,3.87,9.0,0.1,276.1338,811223.0,4.3,4.0,0.6809999999999999,13.1,0.0351149987054547,3.09,94.6,,,10.1,36.2142830499816,,,55057.0
914,finland,2015,Developing,81.1,76.0,0,,0.0,,2,62.1,0,97.0,,97.0,0.1,4245.39744,5479531.0,0.9,0.8,0.893,17.0,7.1799995933875405,1.8,100.0,,27.1,,,,,7396200.0
915,finland,2014,Developing,89.0,78.0,0,8.8,6164.4554020000005,,0,61.7,0,98.0,9.68,98.0,0.1,49914.61864,5461512.0,0.9,0.8,0.89,17.0,6.28188426228721,1.83,100.0,,26.8,,,,,7602600.0
916,finland,2013,Developing,87.0,79.0,0,8.97,6115.496624,,2,61.4,0,98.0,9.55,98.0,0.1,49638.7713,5438972.0,0.9,0.8,0.887,17.0,-1.82122196038823,1.85,100.0,,27.2,,,,,7411200.0
917,finland,2012,Developing,84.0,82.0,0,9.24,5889.012536,,0,61.0,0,99.0,9.3,99.0,0.1,47415.55987,5413971.0,0.9,0.8,0.884,17.0,1.90969837735607,1.8,100.0,,27.1,,,,,9320000.0
918,finland,2011,Developing,83.0,86.0,0,9.81,71.01620838,,27,6.6,0,99.0,9.1,99.0,0.1,579.72415,5388272.0,0.9,0.8,0.878,16.9,-2.18285112555861,1.83,100.0,,27.6,,,,,8940000.0
919,finland,2010,Developing,79.9,89.0,0,9.72,591.6691405,,5,6.2,0,99.0,9.5,99.0,0.1,4622.4151600000005,5363352.0,0.9,0.8,0.8740000000000001,16.8,4.90664547840263,1.87,100.0,,27.7,18.8,,0.0,,8390000.0
920,finland,2009,Developing,79.7,91.0,0,9.96,579.7384367999999,,2,59.8,0,99.0,9.2,99.0,0.1,4717.15571,5338871.0,0.9,0.8,0.878,17.0,-3.49569749665515,1.86,100.0,,27.5,19.0,,,,7700000.0
921,finland,2008,Developing,79.6,94.0,0,10.26,678.88112,,5,59.4,0,97.0,8.35,99.0,0.1,5341.31487,5313399.0,0.9,0.8,0.8759999999999999,17.1,6.81880352268714,1.85,100.0,,27.8,19.1,,,4040.0,6830000.0
922,finland,2007,Developing,79.3,96.0,0,10.45,6147.1323,,0,59.0,0,97.0,8.9,99.0,0.1,48288.5491,528872.0,0.9,0.8,0.873,17.2,8.58615363755679,1.83,100.0,,28.3,19.3,,0.0,4100.0,6080000.0
923,finland,2006,Developing,79.2,96.0,0,10.15,524.7775227,,0,58.6,0,97.0,8.38,97.0,0.1,4112.67651,5266268.0,0.9,0.8,0.8690000000000001,17.2,2.13529391720616,1.84,100.0,,28.0,19.1,,,4040.0,5670000.0
924,finland,2005,Developing,78.9,11.0,0,9.95,4816.589613,,1,58.1,0,97.0,8.43,97.0,0.1,38969.171630000004,524696.0,0.9,0.8,0.8640000000000001,17.1,5.3102270507830704,1.8,100.0,,27.6,18.5,,,3940.0,5270000.0
925,finland,2004,Developing,78.7,12.0,0,9.89,4508.806185,,0,57.6,0,96.0,8.21,98.0,0.1,37636.111730000004,5228172.0,0.9,0.8,0.8690000000000001,18.3,3.43515925859232,1.8,100.0,,27.9,18.8,,0.0,3910.0,4988000.0
926,finland,2003,Developing,78.4,98.0,0,9.31,3869.026302,,0,57.1,0,96.0,8.15,98.0,0.1,32816.1688,521314.0,0.9,0.8,0.866,18.1,3.48187593074365,1.76,100.0,,27.7,19.1,,,3920.0,4747126.0
927,finland,2002,Developing,78.1,98.0,0,9.25,3099.357319,,0,56.6,0,95.0,7.81,98.0,0.1,26834.2625,52598.0,0.9,0.8,0.863,18.0,5.782939055702849,1.72,100.0,,,21.3,,,3840.0,4516772.0
928,finland,2001,Developing,78.0,1.0,0,8.94,2775.33544,,1,56.1,0,95.0,7.43,98.0,0.1,24913.24452,51888.0,0.9,0.8,0.856,17.7,2.4897232944385097,1.73,100.0,,,21.8,,,3740.0,4175587.0
929,finland,2000,Developing,77.5,15.0,0,8.59,397.7533689,,0,55.5,0,96.0,7.22,99.0,0.1,24253.2542,517629.0,0.9,0.9,0.847,17.3,10.7388268968825,1.73,100.0,,27.2,22.3,,0.0,3510.0,3728625.0
930,france,2015,Developing,82.4,78.0,2,,0.0,86.0,157,62.5,3,98.0,,98.0,0.1,36526.7711,6662468.0,0.7,0.6,0.894,16.3,1.75642996529439,1.98,100.0,,32.7,,,,,66681000.0
931,france,2014,Developing,82.2,79.0,3,11.5,6739.677606,83.0,267,62.0,3,98.0,11.54,98.0,0.1,42955.24287,66331957.0,0.6,0.6,0.89,16.2,0.20352527236649398,1.98,100.0,,32.3,,,,,65425000.0
932,france,2013,Developing,82.0,81.0,3,11.1,6646.9539350000005,74.0,272,61.6,3,99.0,11.56,99.0,0.1,42554.1225,6599857.0,0.6,0.6,0.887,16.2,1.12374280873532,1.98,100.0,,32.5,,,,,63324000.0
933,france,2012,Developing,81.5,83.0,3,11.5,751.3793552999999,78.0,0,61.1,3,99.0,11.44,99.0,0.1,4838.2444,6565979.0,0.6,0.6,0.885,16.1,1.22752640558907,1.99,100.0,,33.1,,,,,62260000.0
934,france,2011,Developing,81.7,83.0,3,11.8,683.9190568,74.0,14949,6.6,3,99.0,11.33,99.0,0.1,4381.288,65342776.0,0.6,0.6,0.882,16.1,1.5448970750122402,1.99,100.0,,33.3,,,,,59816000.0
935,france,2010,Developing,81.3,86.0,3,11.7,72.80012109999998,65.0,5048,6.1,3,99.0,11.2,99.0,0.1,473.34279000000004,6527512.0,0.6,0.6,0.879,16.0,1.4716301630353898,1.99,100.0,,33.7,7.34,,,,57785000.0
936,france,2009,Developing,81.1,88.0,3,11.8,6415.35735,51.0,1541,59.6,3,98.0,11.28,98.0,0.1,41631.13141,647744.0,0.6,0.6,0.879,16.0,0.6848106259361209,1.99,100.0,,32.7,7.31,,,,57918000.0
937,france,2008,Developing,89.0,88.0,3,11.9,7002.785925,47.0,604,59.1,3,98.0,1.57,98.0,0.1,45413.6571,6437499.0,0.6,0.6,0.877,16.1,2.3299700359381803,1.98,100.0,,33.0,7.44,,,2540.0,57972000.0
938,france,2007,Developing,89.0,89.0,3,12.2,64.73714894,42.0,39,58.6,3,99.0,1.45,98.0,0.1,416.58397,6416229.0,0.6,0.6,0.873,16.1,3.1528368457017897,1.97,100.0,,32.4,7.02,,,2390.0,55358100.0
939,france,2006,Developing,86.0,92.0,3,12.4,5689.9919310000005,39.0,40,58.0,4,99.0,1.53,99.0,0.1,36544.5853,63621376.0,0.6,0.6,0.87,16.1,3.4053855757959104,1.96,99.9,,29.7,6.59,,,2420.0,51662000.0
940,france,2005,Developing,81.0,93.0,3,12.2,5451.701225,35.0,36,57.5,4,98.0,1.6,98.0,0.1,34879.72633,63179356.0,0.6,0.6,0.86,15.5,3.8766927722001703,1.94,99.9,,29.8,6.62,,0.20800000000000002,2380.0,48088000.0
941,france,2004,Developing,82.0,94.0,3,13.18,5291.234786,35.0,4448,57.0,4,99.0,1.53,98.0,0.1,33874.74255,6274897.0,0.6,0.6,0.857,15.5,1.6830278737318798,1.92,99.9,,30.6,6.56,,,2440.0,44544000.0
942,france,2003,Developing,79.3,99.0,3,13.49,4572.441963,28.0,0,56.4,4,96.0,1.43,97.0,0.1,29691.18158,62244884.0,0.6,0.6,0.852,15.4,2.30107265381256,1.89,99.9,,31.4,6.65,,,2350.0,41702000.0
943,france,2002,Developing,79.2,11.0,3,13.78,3779.655273,29.0,5185,55.8,4,97.0,1.22,97.0,0.1,24275.2426,6185267.0,0.7,0.6,0.851,15.5,3.44983900300987,1.87,99.9,,,6.97,,,2220.0,38585300.0
944,france,2001,Developing,79.0,13.0,3,13.89,3451.185079,28.0,0,55.2,4,98.0,9.89,97.0,0.1,22527.31775,61357431.0,0.7,0.6,0.8490000000000001,15.6,3.6428127196957005,1.84,99.9,,,7.17,,,2240.0,36997400.0
945,france,2000,Developing,78.8,13.0,3,13.63,3410.284431,26.0,10000,54.6,4,98.0,9.77,97.0,0.1,22465.64184,6912498.0,0.7,0.6,0.8440000000000001,15.7,3.03829068496787,1.82,99.9,,31.1,7.1,,0.213,2170.0,29052360.0
946,gabon,2015,Developing,66.0,229.0,2,,0.0,8.0,27,36.3,3,79.0,,8.0,2.7,7388.984144,193175.0,6.1,5.9,0.6940000000000001,12.6,0.29009362251675896,3.85,85.5,,,,50.716593321149794,,,2821555.0
947,gabon,2014,Developing,65.5,237.0,2,0.01,715.2816938999999,7.0,33,35.8,3,68.0,3.44,7.0,2.8,9692.163874,1875713.0,6.1,6.0,0.687,12.6,6.94788931363061,3.91,85.0,,,,59.0667781309406,,,2932731.0
948,gabon,2013,Developing,64.6,255.0,2,8.86,154.8758879,79.0,122,35.2,3,77.0,3.98,79.0,3.7,9679.742995,1817271.0,6.2,6.1,0.6779999999999999,12.5,1.84206205853869,3.96,84.8,,,,47.994821932919905,,,2745229.0
949,gabon,2012,Developing,63.5,276.0,2,8.3,805.3925284,82.0,2,34.6,3,8.0,3.13,82.0,4.9,9774.18117,1756817.0,6.3,6.2,0.669,12.5,3.94449780999163,4.01,84.6,,,,39.350006729292005,,,2557728.0
950,gabon,2011,Developing,62.8,289.0,2,8.9,133.5223672,75.0,2,34.1,3,75.0,3.12,75.0,6.0,1716.2258,169711.0,6.4,6.3,0.664,12.5,6.17786968743541,4.05,84.3,,,,41.2255455622388,,,2370227.0
951,gabon,2010,Developing,62.3,294.0,2,8.85,145.318282,67.0,1,33.5,3,68.0,3.41,67.0,7.0,8754.113376000001,16421.0,6.5,6.4,0.66,12.5,3.6489607556984103,4.08,84.0,,,47.1,65.4315494003386,,,1610000.0
952,gabon,2009,Developing,61.7,31.0,2,8.64,52.31086276,79.0,0,33.0,3,74.0,3.43,76.0,8.0,763.66223,1586754.0,6.7,6.5,0.652,12.4,5.2686918498387305,4.11,83.7,,,52.1,49.68360367604011,,,1450000.0
953,gabon,2008,Developing,61.6,298.0,2,8.75,11.05422474,82.0,3,32.4,3,81.0,2.54,82.0,8.9,194.2746,1536411.0,6.8,6.6,0.6509999999999999,12.4,4.47179252137932,4.14,83.4,,,56.3,42.224770336363896,,537.0,1300000.0
954,gabon,2007,Developing,61.6,291.0,2,9.02,545.4389573,75.0,0,31.9,3,78.0,2.86,81.0,10.0,8352.81711,1489193.0,6.9,6.8,0.645,12.4,5.2641760077632895,4.16,83.0,,,56.1,36.1339823672633,,495.0,1169000.0
955,gabon,2006,Developing,61.4,288.0,2,8.01,40.53719812,52.0,90,31.4,3,44.0,2.88,45.0,10.7,727.777345,1444844.0,7.1,6.9,0.6459999999999999,12.4,2.59540592583277,4.19,82.6,,,57.3,21.822854552853602,,475.0,897987.0
956,gabon,2005,Developing,65.0,37.0,2,7.72,353.2438029,28.0,0,3.8,3,44.0,2.76,45.0,10.9,6741.2939480000005,143126.0,7.2,7.1,0.64,12.4,3.40497731619178,4.23,82.2,,42.2,57.7,36.1727628706795,0.084,451.0,736690.0
957,gabon,2004,Developing,59.7,322.0,2,8.13,443.47506339999995,,63,3.3,3,44.0,3.26,45.0,11.1,5685.577736,136425.0,7.4,7.2,0.64,12.3,4.047948791577509,4.27,81.7,,,54.3,29.576118182979897,,440.0,489367.0
958,gabon,2003,Developing,59.7,32.0,2,6.47,352.232365,,0,29.8,3,44.0,3.48,45.0,11.0,4892.11618,1328146.0,7.5,7.4,0.638,12.3,1.5339612942149699,4.33,81.2,,,56.2,-8.27302190024486,,441.0,300000.0
